Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 19:06,9/21/15 19:09,Paulus Hook,Essex Light Rail,24483,Subscriber,1,1982
9/21/15 19:07,9/21/15 19:16,City Hall,Van Vorst Park,24618,Subscriber,2,1983
9/21/15 19:08,9/21/15 19:29,City Hall,Hamilton Park,24489,Subscriber,1,1980
9/21/15 19:11,9/21/15 19:27,Newport Pkwy,Newport Pkwy,24567,Subscriber,1,1991
9/21/15 19:13,9/21/15 19:25,Newport Pkwy,Warren St,24387,Subscriber,1,1962
9/21/15 19:16,9/21/15 19:23,City Hall,Liberty Light Rail,24488,Subscriber,1,1979
9/21/15 19:17,9/21/15 19:21,City Hall,Exchange Place,24450,Subscriber,1,1983
9/21/15 19:22,9/21/15 19:31,Hamilton Park,City Hall,24443,Subscriber,2,1990
9/21/15 19:23,9/21/15 19:27,Newark Ave,Brunswick St,24688,Subscriber,1,1980
9/21/15 19:24,9/21/15 19:39,Sip Ave,Pershing Field,24520,Subscriber,2,1971
9/21/15 19:25,9/21/15 19:37,Essex Light Rail,Hamilton Park,24589,Subscriber,2,1987
9/21/15 19:26,9/21/15 19:33,Sip Ave,Dey St,24456,Subscriber,2,1986
9/21/15 19:27,9/21/15 19:31,City Hall,Van Vorst Park,24619,Subscriber,2,1970
9/21/15 19:27,9/21/15 19:35,JC Medical Center,Newark Ave,24478,Subscriber,1,1988
9/21/15 19:28,9/21/15 19:52,Newport PATH,Warren St,24393,Customer,0,
9/21/15 19:28,9/21/15 19:52,Newport PATH,Warren St,24601,Customer,0,
9/21/15 19:28,9/21/15 19:52,Newport PATH,Warren St,24599,Customer,0,
9/21/15 19:28,9/21/15 19:56,Sip Ave,Newark Ave,24701,Customer,0,
9/21/15 19:30,9/21/15 19:37,Newark Ave,Hamilton Park,24440,Subscriber,1,1968
9/21/15 19:32,9/21/15 19:47,Exchange Place,Essex Light Rail,24450,Subscriber,1,1973
9/21/15 19:33,9/22/15 19:11,Sip Ave,Sip Ave,24535,Customer,0,
9/21/15 19:36,9/21/15 19:39,Sip Ave,McGinley Square,24680,Subscriber,1,1963
9/21/15 19:36,9/21/15 20:02,Oakland Ave,City Hall,24434,Subscriber,2,1984
9/21/15 19:44,9/21/15 20:01,Newport PATH,Newport Pkwy,24444,Customer,0,
9/21/15 19:45,9/21/15 20:01,Newport PATH,Newport Pkwy,24448,Subscriber,1,1985
9/21/15 19:46,9/21/15 19:52,Essex Light Rail,Grove St PATH,24698,Subscriber,1,1976
9/21/15 19:52,9/21/15 19:54,City Hall,Van Vorst Park,24443,Subscriber,1,1983
9/21/15 19:53,9/21/15 20:09,Newark Ave,Hamilton Park,24478,Subscriber,1,1968
9/21/15 19:53,9/21/15 20:06,Newark Ave,Brunswick St,24391,Subscriber,1,1984
9/21/15 19:54,9/21/15 20:03,Riverview Park,North St,24720,Subscriber,1,1956
9/21/15 19:56,9/21/15 19:59,Newark Ave,Van Vorst Park,24571,Subscriber,1,1987
9/21/15 19:58,9/21/15 20:01,Essex Light Rail,Essex Light Rail,24430,Subscriber,1,1979
9/21/15 19:59,9/21/15 20:27,Van Vorst Park,Grove St PATH,24499,Subscriber,2,1959
9/21/15 20:00,9/21/15 20:04,Paulus Hook,Exchange Place,24480,Subscriber,1,1973
9/21/15 20:04,9/21/15 20:27,City Hall,City Hall,24434,Subscriber,2,1984
9/21/15 20:05,9/21/15 20:12,Newport PATH,Hamilton Park,24566,Customer,0,
9/21/15 20:06,9/21/15 20:12,Grove St PATH,Brunswick St,24698,Subscriber,1,1982
9/21/15 20:10,9/21/15 20:38,Exchange Place,Heights Elevator,24480,Subscriber,1,1953
9/21/15 20:10,9/21/15 20:26,Warren St,Warren St,24599,Subscriber,2,1981
9/21/15 20:11,9/21/15 20:27,Warren St,Warren St,24387,Subscriber,1,1976
9/21/15 20:15,9/21/15 20:32,Newport Pkwy,Grove St PATH,24444,Customer,0,
9/21/15 20:15,9/21/15 20:34,Newport Pkwy,Grove St PATH,24448,Subscriber,1,1985
9/21/15 20:18,9/21/15 20:22,Van Vorst Park,JC Medical Center,24571,Subscriber,1,1974
9/21/15 20:23,9/21/15 20:31,Essex Light Rail,Grove St PATH,24687,Subscriber,2,1984
9/21/15 20:24,9/21/15 20:34,Newark Ave,Newark Ave,24667,Customer,0,
9/21/15 20:25,9/21/15 20:36,Newport PATH,Hilltop,24603,Subscriber,1,1984
9/21/15 20:28,9/21/15 20:36,Newport PATH,Hamilton Park,24678,Subscriber,1,1977
9/21/15 20:32,9/21/15 20:54,Grove St PATH,Oakland Ave,24687,Subscriber,2,1984
9/21/15 20:35,9/21/15 20:40,Sip Ave,McGinley Square,24549,Subscriber,2,1989
9/21/15 20:35,9/21/15 20:49,Grove St PATH,McGinley Square,24444,Customer,0,
9/21/15 20:38,9/21/15 20:43,City Hall,Brunswick St,24547,Subscriber,1,1983
9/21/15 20:39,9/21/15 20:45,5 Corners Library,Pershing Field,24661,Subscriber,2,1989
9/21/15 20:39,9/21/15 20:43,Grove St PATH,Van Vorst Park,24448,Subscriber,2,1976
9/21/15 20:42,9/21/15 20:44,Newport PATH,Newport Pkwy,24490,Subscriber,1,1990
9/21/15 20:43,9/21/15 20:45,Paulus Hook,Essex Light Rail,24710,Subscriber,1,1999
9/21/15 20:44,9/21/15 21:11,North St,North St,24496,Customer,0,
9/21/15 20:45,9/21/15 21:11,North St,North St,24507,Customer,0,
9/21/15 20:46,9/21/15 20:54,Hamilton Park,Warren St,24473,Subscriber,1,1968
9/21/15 20:46,9/21/15 20:56,Paulus Hook,Essex Light Rail,24388,Subscriber,2,1982
9/21/15 20:47,9/21/15 20:52,North St,Riverview Park,24475,Subscriber,1,1956
9/21/15 20:53,9/21/15 20:58,Brunswick St,Newark Ave,24547,Subscriber,1,1984
9/21/15 20:53,9/21/15 21:06,Paulus Hook,Brunswick St,24683,Subscriber,2,1977
9/21/15 20:54,9/21/15 20:58,Brunswick St,Newark Ave,24574,Subscriber,2,1985
9/21/15 20:56,9/21/15 21:06,Newport PATH,Brunswick St,24593,Subscriber,1,1971
9/21/15 20:56,9/21/15 21:06,Newport PATH,Brunswick St,24590,Subscriber,1,1972
